date,AIR,ACA,ATO,RMS,SAF,AI,CA,FP,OR,AC,EN,SAN,CS,BN,RI,MC,SW,ML,HO,KER,UG,EL,SU,VIE,SGO,CAP,DG,VIV,PUB,DSY,GLE,BNP,RNO,ORA,ENGI,LR,URW,FTI,MT,STM
2012-01-06,21.2032,2.9934,22.7492,221.1454,19.958,55.0022,13.2715,26.1431,70.1347,15.6975,15.492,39.428,6.1625,39.0426,62.2568,91.2877,45.7265,36.1055,20.0193,87.2606,8.4838,54.1617,33.6276,5.4836,22.8968,20.8959,25.373,10.2394,30.0219,28.7893,11.322194,20.0549,21.0675,7.3429,12.4088,20.8253,88.099,25.455,27.8898,3.3923
2012-01-13,21.5328,3.0507,23.0855,234.5016,20.5989,56.7584,13.3953,25.5057,69.1239,17.0368,15.5769,38.9864,6.6027,38.0557,63.408,95.3953,46.4241,37.1389,20.7376,89.026,8.9809,55.6825,36.1244,5.6469,25.1264,21.2895,26.3582,9.8188,30.834,28.1999,11.885941,22.4053,22.3177,7.2681,12.5469,21.5443,90.8895,25.4837,29.1864,3.4748
2012-01-20,21.9609,3.5959,24.4959,234.455,19.9965,56.8337,13.5831,26.0516,70.031,18.5938,16.0927,38.9163,7.4956,38.4197,63.9619,101.0536,47.2039,40.1964,21.5525,92.0952,9.8856,55.0251,38.2051,5.4809,26.6063,23.5031,27.6557,9.9549,31.7482,29.0103,15.279325,24.8968,24.2935,7.1404,12.682,22.9024,97.3341,24.8052,30.7479,3.9099
2012-01-27,21.9267,3.5778,25.0215,249.1143,19.8811,55.1645,14.5898,26.2052,70.0829,19.5099,15.7303,39.1336,7.5145,37.9667,63.6157,102.7301,46.2764,40.3667,21.4727,92.2488,9.5709,54.7307,37.8563,5.8021,27.2069,23.8968,27.3134,9.7754,31.3238,29.3787,15.326607,24.414,24.8479,7.1093,12.4629,22.1918,97.5667,25.4658,30.9467,3.7616
2012-02-03,23.5791,3.8583,26.791,255.676,21.0604,56.7815,14.6897,26.8034,70.895,20.9971,16.5562,39.2178,7.9987,39.3338,66.1949,108.3885,48.0715,42.4179,23.1486,96.6614,10.8103,55.6629,39.4971,6.3971,28.5808,24.612,27.949,10.0229,32.5849,29.5353,17.639784,24.8087,26.8572,7.184,12.9431,22.8688,95.5403,27.1927,31.3252,3.7182
2012-02-10,22.9027,3.8619,27.1338,248.6488,20.3084,56.486,14.1184,26.5288,70.3075,20.6068,16.0927,39.4701,7.766,39.2084,66.87,103.6522,48.4001,41.8296,22.4682,95.3568,10.2469,55.4078,37.6344,6.3506,27.2972,24.4258,28.6597,9.9672,32.2788,29.2359,16.912371,24.703,26.82,7.0065,11.7365,21.8218,94.8426,26.7331,31.9498,3.5784
2012-02-17,23.2195,3.7046,27.7411,262.1913,21.2911,55.4949,14.3421,27.248,74.0829,21.0752,16.3897,39.5332,7.7377,40.2358,64.5418,105.0354,48.796,42.325,23.0184,92.4412,9.6271,56.909,38.0069,6.4673,28.8124,27.8372,28.6974,10.2147,33.7644,28.6373,17.47611,25.9927,29.6144,7.1093,11.8775,22.524,97.1348,28.5103,31.1143,3.749
2012-02-24,23.1681,3.5509,28.221,261.5397,20.6972,56.5034,14.6378,27.4996,73.435,21.4696,16.1351,39.4631,7.6245,41.0123,66.4632,105.9156,48.6107,41.0478,23.1276,98.0817,10.5087,58.577,40.4641,6.1124,28.306,27.8372,29.0509,10.2024,33.3155,28.9458,17.77072,26.0209,29.7223,7.3055,11.8115,23.2051,96.6033,29.1961,30.6384,3.8866
2012-03-02,23.6733,3.585,28.2471,266.6863,21.9576,56.9439,15.0812,27.7579,75.7503,22.0735,15.5051,40.2061,7.7912,41.2226,67.398,108.2627,49.5711,40.2196,22.9344,98.3888,9.6304,59.6465,41.5025,7.455,28.5494,28.3959,29.6413,8.8845,34.0991,28.7939,18.472672,26.7222,30.0013,7.1218,11.7665,23.0243,98.1314,30.0972,30.2767,3.9336
2012-03-09,25.7367,3.432,27.9663,247.5972,22.2097,57.0018,14.9014,27.5977,76.4501,21.6216,15.5965,40.6827,7.5208,42.2904,68.9473,108.7238,50.2114,40.3047,23.5183,99.6167,8.8784,62.1093,40.0123,7.627,27.6779,28.2859,29.5999,8.6618,34.2746,29.0425,17.759808,26.0385,31.0581,6.9474,11.8415,22.8351,99.0948,30.485,28.6301,4.1467
